student_name,gender,region,register_no,birth_date,age,teacher_id,student_code,3,2,3.1,1,2.1,1.1,1.2,2.2,3.2,2.3,total_courses,total_credits
Ариун,Эм,Завхан,ЮЭ62433561,1990-09-03,35,4,B192070083,0,0,1,1,0,1,0,0,1,1,5,10
Цэрэн,Эр,Төв,НН33324971,2005-01-29,20,2,B167670036,0,1,0,1,0,1,1,1,0,1,6,9
Бадам,Эр,Дархан-Уул,ЗС45336477,2003-08-04,22,7,M151120002,1,1,0,0,0,0,1,1,0,1,5,10
Тэмүүжин,Эм,Өвөрхангай,ЗМ94925224,1995-02-01,30,5,B112140049,1,0,0,1,1,0,0,0,0,1,4,8
Дөлгөөн,Эр,Улаанбаатар - Сүхбаатар,ИО52454161,2000-09-20,25,1,B173990027,1,0,0,1,0,0,1,0,1,0,4,8
Урангоо,Эм,Завхан,НЦ69149146,1990-02-03,35,1,M188860087,0,1,0,0,0,0,1,1,1,0,4,8
Гэрэл,Эр,Улаанбаатар - Сонгинохайрхан,ФК02627416,2001-08-23,24,7,M141460042,1,0,0,0,0,0,1,0,0,0,2,4
Хулан,Эм,Булган,ЗО15823682,1996-05-10,29,5,M213070014,0,0,1,1,1,0,1,1,0,1,6,11
Мөнхтөр,Эр,Өмнөговь,ЕМ62264940,2006-01-01,19,7,B242320092,1,0,1,1,1,1,0,1,1,1,8,17
Баярмаа,Эм,Дорнод,СЙ61459694,1994-03-31,31,8,M232830080,0,1,0,0,1,1,0,1,0,1,5,9
Энхцэцэг,Эм,Төв,ХЛ47259175,1996-01-17,29,7,M184820047,1,0,0,0,0,1,1,0,0,0,3,5
Содном,Эр,Хэнтий,ЕХ17985671,2004-11-06,20,3,M108230012,0,1,0,0,0,1,0,1,1,0,4,8
Төгөлдөр,Эм,Дорнод,ФС27444879,2005-08-12,20,1,M128810075,1,0,1,1,0,1,0,0,0,1,5,10
Отгон,Эр,Сэлэнгэ,ЯЧ40998751,2001-05-09,24,6,B131370058,0,1,0,0,0,1,1,1,1,0,5,9
Дэлгэр,Эр,Дорнод,ЛЮ13244383,1999-08-09,26,3,B196140012,1,1,0,0,0,1,1,1,0,0,5,9
Ариунаа,Эр,Говьсүмбэр,ЙЗ03542561,2001-05-18,24,8,M101950059,1,0,0,0,0,0,1,0,1,0,3,7
Цэцэг,Эр,Улаанбаатар - Баянзүрх,ФМ98774126,2004-07-09,21,6,M196750007,0,0,1,1,1,0,0,1,1,0,5,11
Батцэнгэл,Эм,Сэлэнгэ,ЮП13648060,2000-02-01,25,5,M171920043,0,1,1,0,1,0,1,1,1,0,6,13
Намуун,Эм,Өмнөговь,ГГ08697574,1994-08-19,31,2,M208590047,1,1,1,0,0,1,0,0,1,1,6,14
Амаржаргал,Эр,Төв,ЛЦ24981272,1991-08-13,34,5,M136470039,0,0,0,0,0,0,0,0,0,0,0,0
Наран,Эм,Дархан-Уул,ЧА73157296,1995-09-30,30,8,M222120086,1,1,1,0,0,0,0,0,0,0,3,8
Мөнхжаргал,Эр,Сүхбаатар,ЦХ68775130,2003-12-31,21,5,B246940070,0,1,1,0,1,0,0,0,0,0,3,7
Эрдэнэ,Эр,Ховд,ПК79124605,1993-07-18,32,5,B206840033,1,1,1,0,0,1,1,0,0,1,6,12
Оюун,Эр,Баян-Өлгий,БР29236217,2005-06-17,20,6,M205030049,0,1,0,0,1,0,1,0,1,0,4,8
Энхзаяа,Эр,Архангай,ФЮ80564591,2001-07-19,24,3,M152080008,1,1,0,1,1,1,0,1,1,1,8,16
Ганзориг,Эр,Ховд,ХК66904489,2006-02-23,19,5,B164810061,0,1,0,0,0,0,1,0,0,1,3,5
Содгэрэл,Эр,Сэлэнгэ,ЭП54306214,1995-05-16,30,2,M223040026,0,0,0,0,1,0,0,0,0,1,2,4
Бямбаа,Эр,Говь-Алтай,ЗМ80910061,2001-05-19,24,4,M105940002,0,1,0,1,0,0,1,0,1,0,4,7
Хатанбаатар,Эм,Баян-Өлгий,ЕА69763082,1998-10-26,26,1,B158120034,1,1,0,0,0,0,0,0,1,1,4,10
Даваа,Эр,Говь-Алтай,ОГ87135736,1999-04-17,26,2,B128660005,1,0,1,0,0,0,0,1,0,0,3,8
Болормаа,Эм,Говьсүмбэр,ЕО22231860,1998-06-04,27,4,B141180099,0,0,0,0,0,0,0,0,0,0,0,0
Цолмон,Эр,Увс,ПБ88994028,1992-10-27,32,7,M228910098,1,0,0,0,1,1,1,0,0,1,5,9
Энхбаяр,Эм,Дундговь,ЯЗ36204889,1991-11-20,33,4,M138170064,1,0,1,1,0,0,0,1,1,1,6,14
Мөнхзул,Эр,Өвөрхангай,АЖ34702913,2001-08-09,24,7,B208490068,0,0,0,0,0,0,1,0,1,0,2,4
Хосбаяр,Эм,Дорнод,ЕГ98648969,2000-11-11,24,3,B235320003,0,1,1,1,0,0,0,1,0,0,4,8
Одонгэрэл,Эм,Дундговь,ИБ47291950,1997-10-29,27,7,B102020056,0,0,1,1,0,0,1,1,0,1,5,9
Туул,Эр,Завхан,УМ69614026,2001-02-07,24,7,B218270075,0,0,0,0,0,1,0,1,0,0,2,3
Ганбаатар,Эм,Говьсүмбэр,МЗ41179236,1995-03-13,30,2,B145370043,1,1,1,0,1,1,1,0,0,0,6,12
Сувд,Эм,Увс,УУ86209599,1994-04-18,31,8,B221490035,1,0,1,1,1,1,1,1,0,1,8,15
Баярсайхан,Эр,Хэнтий,ПС30330510,2001-04-17,24,6,M217270012,0,0,1,1,0,0,1,1,1,1,6,12
Уянга,Эм,Булган,ИТ34433837,1995-03-02,30,8,M146830092,0,1,1,1,0,0,1,0,1,0,5,10
Энхжин,Эр,Хэнтий,ГЦ39985471,2006-01-29,19,4,M214010035,0,0,0,0,0,1,1,0,0,0,2,2
Нямгэрэл,Эр,Хөвсгөл,ДР86950535,2003-07-31,22,1,B171490056,0,0,0,1,0,0,1,0,0,1,3,4
Бат-Эрдэнэ,Эр,Говь-Алтай,ШУ37539958,2000-09-05,25,7,B141460042,0,1,1,0,0,0,1,1,0,1,5,10
Амар,Эр,Ховд,ДГ65148425,1991-01-28,34,8,M235430031,1,1,1,0,0,0,0,0,0,1,4,10
Нандин,Эм,Баянхонгор,ПУ36600379,1991-08-05,34,6,M147320055,0,1,0,1,0,0,0,1,0,1,4,7
Сарнай,Эр,Дархан-Уул,ЗЦ34505987,2005-06-26,20,3,M205450069,1,1,1,0,1,1,1,0,0,0,6,12
Бямбасүрэн,Эр,Өмнөговь,ЭН28146805,2004-01-27,21,4,B117860001,1,0,1,1,1,1,0,1,0,1,7,14
Төгс,Эр,Хэнтий,ХК19413156,2002-07-30,23,6,M186050078,0,0,1,0,0,1,1,1,0,0,4,7
Ганхуяг,Эр,Баян-Өлгий,ЧЦ96254906,1995-06-24,30,5,M187480085,0,1,1,0,1,0,0,1,1,1,6,14
Хулантуяа,Эр,Дорноговь,ТГ84420293,2000-02-29,25,5,B106940010,1,0,1,0,0,1,1,0,1,1,6,13
Энхжаргал,Эм,Хөвсгөл,ГШ26999746,1997-07-11,28,3,M158960049,1,0,0,0,1,1,0,0,0,1,4,8
Мөнхсайхан,Эр,Дорнод,ЦМ46362225,1999-05-30,26,4,B128160010,1,0,1,1,0,0,0,1,0,1,5,11
Баярчимэг,Эр,Булган,СТ41630810,2006-03-09,19,7,B147510050,1,1,1,0,0,0,0,0,0,1,4,10
Отгонбаатар,Эр,Баян-Өлгий,БН52496527,1990-04-18,35,5,M131440042,1,1,1,0,1,1,0,1,0,1,7,15
Цэцэн,Эр,Баян-Өлгий,ЧП41268059,1995-02-22,30,1,B118280085,0,0,0,0,0,1,0,1,0,1,3,5
Дэлгэрцэцэг,Эм,Булган,ФЧ62361995,2004-02-06,21,8,B211940041,0,0,0,0,0,1,1,0,1,1,4,7
Ариунаа,Эм,Төв,РВ65904002,1999-11-12,25,4,M104080027,0,0,0,0,1,1,0,1,0,1,4,7
Нямсүрэн,Эр,Төв,ЧФ60074354,1995-01-28,30,7,M223650040,1,0,1,1,0,0,0,0,1,0,4,10
Содгэрэл,Эм,Улаанбаатар - Сүхбаатар,ДЧ85740211,1998-06-30,27,5,B185630074,0,1,1,1,1,0,1,0,0,1,6,11
Ганхуяг,Эм,Завхан,ТМ96612317,2004-05-20,21,1,M188680009,1,1,0,0,0,1,1,0,1,1,6,12
Энхтуяа,Эр,Говь-Алтай,ЦЦ42315873,2004-08-04,21,6,M101640005,1,1,0,0,0,0,0,1,1,0,4,10
Мөнгөнтуяа,Эм,Говьсүмбэр,ИФ20421685,1990-03-31,35,5,B114510064,0,1,1,1,0,0,1,1,0,0,5,9
Бямбасайхан,Эр,Дундговь,ХВ01741839,1990-11-19,34,5,M101890042,0,1,1,0,0,0,1,0,0,0,3,6
Хүслэн,Эр,Архангай,ЯИ53920230,1995-05-13,30,7,M153460060,1,1,0,1,0,0,1,0,0,0,4,7
Оюунгэрэл,Эм,Сэлэнгэ,ХП50902826,2000-01-22,25,8,B159010043,1,1,1,1,0,0,0,0,0,0,4,9
Тэмүүлэн,Эм,Сүхбаатар,ПП94437224,2001-04-08,24,6,M241610064,1,0,1,0,1,1,1,0,0,0,5,10
Сувдан,Эм,Ховд,ЧЮ07469617,1992-10-05,32,8,B127230050,0,0,1,1,0,0,1,1,0,0,4,7
Батсайхан,Эм,Орхон,ОГ53833964,2005-10-22,19,2,B167710096,0,1,1,1,0,1,0,1,1,0,6,12
Намсрай,Эр,Улаанбаатар - Сонгинохайрхан,ЭЕ38058662,1999-05-04,26,1,M191230012,1,1,0,0,0,1,0,0,1,0,4,9
Энхзул,Эм,Төв,БФ32358179,1998-08-27,27,6,B127340003,0,0,1,0,0,0,1,1,1,1,5,11
Ганзориг,Эр,Сэлэнгэ,ЦУ17269062,1990-09-08,35,3,M234470006,1,0,0,1,0,0,1,1,1,0,5,10
Цэнд-Аюуш,Эм,Дорноговь,ИУ30070923,2005-11-04,19,6,M107260043,1,0,0,0,1,1,1,1,0,0,5,9
Мөнхтуяа,Эм,Сэлэнгэ,ЙП34081350,1997-05-21,28,7,B215040037,1,1,0,1,0,0,1,1,1,1,7,14
Баярсайхан,Эм,Өвөрхангай,ХТ40817712,1997-03-27,28,1,M155120034,0,1,1,1,0,1,0,0,0,1,5,9
Дөлгөөн,Эр,Завхан,ОО40777819,2001-06-01,24,1,B162090045,0,0,1,1,0,0,0,1,1,1,5,11
Ариунаа,Эр,Улаанбаатар - Сүхбаатар,ЮН55048826,2000-04-12,25,4,M231180056,0,1,0,1,1,0,0,0,1,1,5,10
Саруул,Эм,Баянхонгор,ЖЧ71040296,1996-04-26,29,4,B167670077,0,0,1,0,1,1,0,0,0,0,3,6
Энхбат,Эр,Увс,БН89224249,2004-12-17,20,6,B132630043,0,1,1,1,0,0,1,1,0,1,6,11
Ганболд,Эр,Сүхбаатар,ЕО95474329,2004-03-09,21,8,B194140057,0,0,1,0,1,0,1,1,0,1,5,10
Бадам,Эр,Сэлэнгэ,СЙ34443918,1997-03-29,28,4,B116560061,1,1,0,0,0,0,0,0,1,1,4,10
Тэмүүжин,Эр,Ховд,ФЛ75186150,2005-04-26,20,8,M163830048,0,0,1,1,0,0,0,1,0,0,3,6
Бат,Эр,Хөвсгөл,ХЮ91341017,2006-07-08,19,5,M164280006,0,1,1,1,0,0,1,0,0,1,5,9
Болд,Эм,Улаанбаатар - Сонгинохайрхан,ЭН68954971,2001-09-10,24,8,M193410098,0,0,0,0,0,0,1,0,1,0,2,4
Саруул,Эр,Хэнтий,ШЕ62770944,1990-10-14,34,7,M184080053,1,0,1,0,1,1,1,1,1,0,7,15
Энхбат,Эм,Төв,ЖЙ55798708,1997-10-30,27,4,B214240032,0,1,1,0,0,0,1,0,1,1,5,11
Ганболд,Эр,Төв,ОМ97886636,2004-03-13,21,2,B236120068,1,1,0,1,0,0,0,0,0,0,3,6
Баяр,Эм,Говьсүмбэр,ЗГ84211063,1990-06-04,35,6,B213450099,0,0,1,0,1,0,1,1,1,1,6,13
Мөнх,Эр,Хэнтий,МЧ92643326,1992-02-21,33,1,M194070083,1,1,0,0,1,1,0,0,1,0,5,11
Од,Эм,Говь-Алтай,РС77738956,2003-07-03,22,4,B156160041,0,0,0,0,1,1,0,1,1,0,4,8
Амгалан,Эм,Дундговь,ГО56319681,2006-12-27,18,8,B151190081,0,1,1,1,0,0,0,0,1,0,4,9
Номин,Эр,Баянхонгор,ФС30782824,2005-07-03,20,7,M227590080,0,0,0,0,1,0,1,0,0,0,2,3
Цэнгэл,Эм,Дундговь,ЖИ53301273,1991-09-21,34,3,M121290035,0,1,0,0,0,0,0,1,0,1,3,6
Баярчимэг,Эм,Хөвсгөл,ЕФ40143143,2003-09-21,22,4,B244850031,0,1,1,1,1,1,1,0,0,0,6,10
Отгонбаатар,Эр,Говь-Алтай,СК92324392,1998-02-24,27,3,B204650040,1,1,0,0,0,0,0,0,0,0,2,5
Цэцэн,Эр,Хөвсгөл,ФМ11796207,2004-01-01,21,7,B115960034,0,1,0,0,0,1,1,1,0,1,5,8
Дэлгэрцэцэг,Эр,Дорнод,ЗД93617150,1992-01-06,33,4,M122660082,0,1,1,0,1,1,1,0,1,1,7,14
Ариунаа,Эм,Булган,ГС86502230,1991-05-25,34,8,B224070076,0,1,1,1,0,1,1,1,0,1,7,12
Нямсүрэн,Эр,Төв,РФ93210819,1992-08-09,33,4,M167050008,0,0,0,0,0,1,1,0,1,0,3,5
Содгэрэл,Эр,Хөвсгөл,ЙВ25348636,2000-12-13,24,8,B112510004,1,0,0,1,0,0,1,0,0,0,3,5
